userName,score,at,content,clean_teks,polarity_score,polarity
Nurgi Yanti,5,2024-06-04 18:32:34,"sejauh ini aplikasi nya emang bagus,tapi ada sedikit bug dan disponsori,kadang suka kesel karena banyak sekali iklan/ disponsori,susah untuk scroll tiktok,tolong perbaiki yaaa,tapi aplikasi nya jujur bagus bgt,suka, tapi sering ada event yang sampe kita harus ikut/ engga,suka ngelag kalo lagi asik nge scroll ,bahkan harus mati daya dulu,ini kenapa ya??!,segini dulu ajaaa, terimakasih","['jauh', 'aplikasi', 'ada', 'sedikit', 'suka', 'kesel', 'karena', 'banyak', 'sekali', 'baik', 'aplikasi', 'jujur', 'bagus', 'sering', 'ada', 'yang', 'sampai', 'harus', 'ikut', 'kalau', 'lagi', 'asik', 'harus', 'mati', 'terima kasih']",-6,negative
Trituwan ID,4,2024-05-22 18:28:22,"Tidak bisa ganti foto profil. Tolong perbaiki lagi aplikasinya. Setiap kali saya memencet ""Edit foto"" lalu mengklik tulisan di kiri atas layar untuk mengganti lokasi gambar yang akan saya pilih, gambarnya tidak muncul2.. aplikasi ini bagus kok!","['tidak', 'ganti', 'foto', 'tolong', 'baik', 'lagi', 'aplikasi', 'saya', 'pencet', 'foto', 'lalu', 'kiri', 'atas', 'ganti', 'gambar', 'yang', 'saya', 'pilih', 'gambar', 'tidak', 'muncul', 'aplikasi', 'bagus']",-20,negative
kayana khansa shasa,4,2024-05-21 18:29:36,Aplikasi ini bagus kan seru tapi banyak filter yang tidak bisa di pakai pasti bertulisan (perangkat tidak mendukung efek ini) saya coba lihat di PlayStore saya kira ada update tapi padahal waktu itu gak ada itu gimana ya maksudnya aplikasi ini aslinya keren bagus dan ngebantu banget buat yang bosenan bisa lihat video cuman kurangnya di efek efek nya yang gak bisa di pake mohon di bantu ya mimin tiktok 🙏,"['aplikasi', 'bagus', 'seru', 'banyak', 'yang', 'tidak', 'pasti', 'tidak', 'dukung', 'efek', 'saya', 'coba', 'lihat', 'saya', 'kira', 'ada', 'terbaru', 'itu', 'ada', 'itu', 'maksud', 'aplikasi', 'asli', 'bagus', 'bantu', 'buat', 'yang', 'lihat', 'kurang', 'efek', 'efek', 'yang', 'mohon', 'bantu']",18,positive
Ahmad Yulianto,5,2024-06-07 08:53:19,"Maaf aku instal ulang, dan aku kasih bintang 5 star dan aku udah ubah pengaturan data menjadi data tanpa batas dan penggunaan boleh besar besaran dan minimal penggunaan datanya 4 GB dan yang lebih tinggi. Tambahan : untuk kualitas videonya sangat jernih yaa seperti tiktok douyin biar keliatan sempurna 🙏🙏🙏🙏🙏 dan tidak akan aku hapus instal lagi yaaaa","['maaf', 'aku', 'pasang', 'aku', 'kasih', 'aku', 'sudah', 'atur', 'data', 'jadi', 'data', 'batas', 'guna', 'boleh', 'besar', 'besar', 'minimal', 'guna', 'data', 'yang', 'lebih', 'tinggi', 'tambah', 'kualitas', 'sangat', 'jernih', 'seperti', 'lihat', 'sempurna', 'tidak', 'aku', 'hapus', 'pasang', 'lagi', 'yaaaa']",33,positive
Letto Ponsel,4,2024-06-08 20:31:47,"buat aku pribadi yg bukan konten kreator aplikasi ini untuk sekedar hiburan liat video-video singkat yg cukup menghibur, tapi juga aplikasi yg menyenangkan untuk belanja online di tiktokshop. Memang ada ada saja beberapa bug tapi it's ok karena aku notabene nya bukan konten kreator jadi gak masalah, cuma bisa kali lebih banyakin dong bonus koin nonton nya, banyakin diskon belanja nya & ringankan ongkir + gratis ongkir nya untuk kami pencinta onlen shop diluar pulau jawa itu aja","['buat', 'aku', 'yang', 'bukan', 'aplikasi', 'lihat', 'singkat', 'yang', 'cukup', 'aplikasi', 'yang', 'senang', 'belanja', 'memang', 'ada', 'ada', 'saja', 'ok', 'karena', 'aku', 'bukan', 'jadi', 'masalah', 'cuma', 'lebih', 'banyak', 'bonus', 'banyak', 'diskon', 'belanja', 'ringan', 'gratis', 'cinta', 'itu', 'saja']",1,positive
Afdal Umar,1,2024-06-09 03:36:23,"Saya sangat tidak suka dengan tik tok, karena apa, setiap saya membuat konten, selalu saja tidak fyp karena harus berbayar jika ingin banyak yang like, bahkan yang nonton aja sedikit, padahal saya bikin nya ber jam jam, tapi apa? Gaada hasil, justru saya membuat konten karena inigin mendapatkan hasil, tetapi apa malah berbayar, boleh ga si gausa ber bayar, kami juga punya impian,","['saya', 'sangat', 'tidak', 'suka', 'karena', 'apa', 'saya', 'buat', 'saja', 'tidak', 'karena', 'harus', 'bayar', 'banyak', 'yang', 'yang', 'saja', 'sedikit', 'saya', 'apa', 'hasil', 'saya', 'buat', 'karena', 'dapat', 'hasil', 'apa', 'bayar', 'boleh', 'tidak', 'tidak', 'bayar', 'punya']",-48,negative
Riss Google,1,2024-06-09 16:19:24,"Sangat di sayangkan tidak bisa order/beli barang dari Tiktok Shop dengan alasan ""tidak ada pengiriman ke wilayah anda."" Padahal katanya dapat dikirim ke seluruh wilayah Indonesia. Tapi nyatanya tidak sesuai kenyataan, kalau hanya karena alasan usia dibawah 18 tahun tapi skrng saya sudah berusia 37 tahun, atau hanya karena masalah lokasi? Nyatanya untuk wilayah/lokasi semua sudah di seting sesuai dengan data asli. Namun tetap saja tidak ada pengiriman ke Kab. Boven Digoel Papua. Bingung!","['sangat', 'sayang', 'tidak', 'dari', 'tidak', 'ada', 'kirim', 'anda', 'kata', 'dapat', 'kirim', 'nyata', 'tidak', 'sesuai', 'nyata', 'kalau', 'hanya', 'karena', 'saya', 'sudah', 'hanya', 'karena', 'masalah', 'nyata', 'semua', 'sudah', 'sesuai', 'data', 'asli', 'tetap', 'saja', 'tidak', 'ada', 'kirim']",-3,negative
Harry Andrean,1,2024-05-24 16:32:25,"Semua notifikasi sudah saya aktifkan, tapi mengapa notifikasinya banyak yg tidak ditampilkan distatusbar, jadi kalau ada notifikasi jadi tidak terbaca karena distatusbar tidak ada notifikasi dan juga di menu share(berbagi) pada VT di klik jadi hanya dua baris sehingga tampilannya jadi lebih panjang, padahal sebelum update tampilannya tiga baris, tolong diperbaiki","['semua', 'sudah', 'saya', 'aktif', 'banyak', 'yang', 'tidak', 'tampil', 'jadi', 'kalau', 'ada', 'jadi', 'tidak', 'baca', 'karena', 'tidak', 'ada', 'pada', 'jadi', 'hanya', 'dua', 'tampil', 'jadi', 'lebih', 'panjang', 'terbaru', 'tampil', 'tolong', 'baik']",-1,negative
Fransiscus Fredy Juardi YY,5,2024-04-13 16:44:27,"Bagus. Aku edit ulasan sedikit. Aku temukan 1 kurang dari aplikasi TikTok, karena utk user's komersial lagu jadi masalah yg fatal, sebaiknya saat mulai persiapan untuk posting, ada pilihan untuk ""bisukan"", jadi aku bisa langsung ganti lagunya di aplikasi TikTok tidak perlu external, jika bisa hanya ""bisukan lagunya saja"" tanpa ""bisukan pembicaraan/vocal"", sangat mungkin dilakukan, karena fitur sound Splitter sudah ada sejak lama terutama pada aplikasi karaoke create & DJ.","['bagus', 'aku', 'sedikit', 'aku', 'temu', 'kurang', 'dari', 'aplikasi', 'karena', 'lagu', 'jadi', 'masalah', 'yang', 'fatal', 'baik', 'mulai', 'siap', 'ada', 'pilih', 'bisu', 'jadi', 'aku', 'langsung', 'ganti', 'lagu', 'aplikasi', 'tidak', 'perlu', 'hanya', 'bisu', 'lagu', 'saja', 'bisu', 'sangat', 'mungkin', 'karena', 'sudah', 'ada', 'lama', 'pada', 'aplikasi']",-15,negative
Jenri Marisi Sidauruk,3,2024-03-22 00:15:08,"Secara fungsinya, tiktok memberikan sebuah era baru di media sosial dengan algoritma khususnya. Tapi secara User Interface, tiktok masih ketinggalan jaman, karena tidak punya MODE GELAP atau DARK MODE di interfacenya, sehingga kadang menyilaukan disaat2 tertentu kita buka aplikasinya.","['beri', 'buah', 'sosial', 'tinggal', 'jaman', 'karena', 'tidak', 'punya', 'gelap', 'kadang', 'tentu', 'buka', 'aplikasi']",-3,negative
Berliana,3,2024-04-02 20:37:05,"Filter nya lumayan bagus, Cuma 2 bulan terakhir tiktok kurang enak dipakai, mulai dari aplikasi sering keluar sendiri baru dipakai Beberapw detik bahkan udah keluar, ngebug, terlalu banyak makan kuota, terus kalo mau nyimpen foto/video dari kamera tiktok susah kadang ga masuk galeri juga hmmm. Mohon diperbaiki lagi","['lumayan', 'bagus', 'cuma', 'bulan', 'kurang', 'enak', 'mulai', 'dari', 'aplikasi', 'sering', 'keluar', 'sendiri', 'sudah', 'keluar', 'terlalu', 'banyak', 'makan', 'kuota', 'kalau', 'mau', 'dari', 'susah', 'kadang', 'tidak', 'mohon', 'baik', 'lagi']",-11,negative
Kevin Septian,4,2024-03-18 13:57:43,"Aplikasinya sudah bagus,banyak lagu favorit ku yg ada di tiktok,tapi mohon maaf kok setiap saya scroll 5 atau 6 video ada salah satu video yg layarnya hitam,saya cek ternyata videonya lemot,padahal wifi masih bagus dan GK lemot,banyak bug yg terjadi,setiap nonton video yg lemot itu GK bisa di skip videonya,setiap scroll tiktok pasti ada video yg layarnya hitam/bug..dan setiap buka tiktok pasti lemot dan malah muncul tulisan ""tutup paksa tiktok"" padahal sinyal bagus,tolong di perbaiki ya🙏","['aplikasi', 'sudah', 'lagu', 'yang', 'ada', 'mohon', 'maaf', 'saya', 'ada', 'salah', 'satu', 'yang', 'cek', 'nyata', 'bagus', 'tidak', 'yang', 'yang', 'lot', 'itu', 'tidak', 'pasti', 'ada', 'yang', 'buka', 'pasti', 'lot', 'muncul', 'tutup', 'paksa', 'baik']",-25,negative
Nur Rahmah,3,2024-05-06 21:14:26,"Akhir- akhir ini aplikasi ini sering lelet,,waktu membuka aplikasi yg ada nampak tulisan tik tok nya tok sampe hpnya mati,,,terpaksa di delete lagi download lagii,,,waktu pertama ngedow load lancar banget,,,selang beberapa saat buka tutup aplikasi udahhhhh zonk lagi,,,,,tapi mengingat untuk melihat vidio yg menarik terpaksa harus hapus lagi download lagi,,,kenapa ya bisa gitu,,padahal saya duduk di samping mesin wifi😅 Tolong kembalikan tik tok seperti semula.","['aplikasi', 'sering', 'buka', 'aplikasi', 'yang', 'ada', 'sampai', 'delete', 'lagi', 'lancar', 'buka', 'tutup', 'aplikasi', 'ingat', 'lihat', 'yang', 'tarik', 'paksa', 'harus', 'hapus', 'lagi', 'saya', 'samping', 'tolong', 'seperti', 'mula']",-32,negative
WILIAM BETAH,2,2024-04-21 13:15:42,"Tiktok yang sekarang sudah tidak menyenangkan seperti dulu lagi 😔, dulu kalau mencari suatu video, saat dicari pasti akan ada banyak video bagus sesuai dengan pencarian yang diinginkan 👍, tapi sekarang kalau mencari video atau lagu yang diinginkan pasti muncul cuma beberapa 😕 dan sisa hanyalah video random yang termasuk ke dalam pencarian secara tidak sengaja 🤔 Saya harap tiktok membaca ulasan ini agar mau kembali mengubah kualitas tiktok seperti dulu yang sangat menyenangkan! 🙏","['yang', 'sudah', 'tidak', 'senang', 'seperti', 'lagi', 'kalau', 'cari', 'cari', 'pasti', 'ada', 'banyak', 'bagus', 'sesuai', 'cari', 'yang', 'kalau', 'cari', 'lagu', 'yang', 'pasti', 'muncul', 'cuma', 'sisa', 'hanya', 'random', 'yang', 'dalam', 'cari', 'tidak', 'sengaja', 'saya', 'harap', 'baca', 'agar', 'mau', 'kualitas', 'seperti', 'yang', 'sangat', 'senang']",-24,negative
Kim Seo Hyun,3,2024-05-10 15:03:47,"Tik tok sekarang jelek bgt parah 🐽📌📌,,,masa video yg di draf lagu nya tiba2 hilang dari videonya,,, setiap draf video mau posting nya bsok..eh malah lagi nya tiba2 hilang,,, Tolong tik tok... perbaiki bug nya.. Makin di update bukan nya makin bagus.. sekarang malah makin jelek bgtt📌📌🐽,,,tik tok jelek","['jelek', 'parah', 'yang', 'lagu', 'hilang', 'dari', 'mau', 'lagi', 'hilang', 'tolong', 'baik', 'makin', 'terbaru', 'bukan', 'makin', 'bagus', 'makin', 'jelek', 'jelek']",-8,negative
Jaylanie Jaylanie,1,2024-06-01 15:02:18,Sekarang lucu.... Utk menyimpan video/fto gak tersedia fiturnya. Biasanya ada diatas /ditanda panah paling bawah tp sekarang gak ada semua. Ganti akun baru juga tetep sama gak ada fitur simpannya. Parah,"['lucu', 'simpan', 'sedia', 'biasa', 'ada', 'atas', 'tanda', 'ada', 'semua', 'ganti', 'sama', 'ada', 'simpan', 'parah']",5,positive
Sudarwanto,3,2024-05-24 10:41:11,"Saya suka menggunakan TikTok, namun seringkali ketika aplikasi di klik tidak mau terbuka. Sehingga seringnya harus di uninstall dulu, baru kemudian di install ulang. Kecenderungannya untuk scroll juga semakin lambat dan berat, padahal tidak ada masalah dengan hp. Oleh karena itu semoga pihak TikTok dapat mengidentifikasi dan memperbaiki masalahnya, dan semoga kedepan dapat lebih baik lagi. Terima kasih 🙏","['saya', 'suka', 'guna', 'aplikasi', 'tidak', 'mau', 'buka', 'sering', 'harus', 'copot', 'pasang', 'cenderung', 'makin', 'lambat', 'tidak', 'ada', 'masalah', 'karena', 'itu', 'moga', 'pihak', 'dapat', 'baik', 'masalah', 'moga', 'dapat', 'lebih', 'baik', 'lagi', 'terima', 'kasih']",1,positive
Ratih,4,2024-06-01 00:14:55,"Sumpah bagus bgt, tapi pas nonton video yang ada di pencarian itu kadang video ny berhenti sendiri atau suaranya hilang gitu, gatau bug atau bukan tapi bisa di perbaiki ga? Kadang suka kesel sendiri, semoga mengerti 😁🙏🏻","['sumpah', 'bagus', 'pas', 'yang', 'ada', 'cari', 'itu', 'kadang', 'henti', 'sendiri', 'suara', 'hilang', 'gatau', 'bukan', 'baik', 'tidak', 'kadang', 'suka', 'kesel', 'sendiri', 'moga', 'erti']",-2,negative
Faizah Rabbani,5,2024-05-22 18:37:49,"Untuk keseluruhan aplikasi bagus dan mudah di mengerti, saya ingin request ke tiktok untuk ada kan fitur posting ulang video yang disertakan kutipan seperti di aplikasi Twitter jadi pengguna yang mem posting ulang dan memberikan reaksi kenapa dia memilih memposting ulang video & bisa berbagi info dengan lebih jelas kepada followers nya. Dan untuk kutipan nya bisa di letakan di atas username dan caption (posisi tempat pemberitahuan posting ulang, lokasi, toko penjual dll) dan di beri batas kata.","['aplikasi', 'bagus', 'mudah', 'erti', 'saya', 'ada', 'yang', 'serta', 'seperti', 'aplikasi', 'jadi', 'guna', 'yang', 'beri', 'reaksi', 'dia', 'pilih', 'bagi', 'informasi', 'lebih', 'jelas', 'leta', 'atas', 'tempat', 'pemberitahuan', 'jual', 'beri', 'batas', 'kata']",-17,negative
Anum,3,2024-06-04 11:40:44,"Tiktok ku setelah ku upgrade jadi lama muncul vidionya kadang juga lama suaranya ga ada engga kaya sebelumnya, jadi kaya capcut lama kaya vidionya lama, ga muncul suaranya,harus nunggu. Tapi kalo kualitas nya bagus tetapi Vidio sama suaranya lama","['jadi', 'lama', 'muncul', 'kadang', 'lama', 'suara', 'tidak', 'ada', 'kaya', 'jadi', 'kaya', 'lama', 'kaya', 'lama', 'tidak', 'muncul', 'nunggu', 'kalau', 'kualitas', 'bagus', 'sama', 'suara', 'lama']",0,neutral
Isi Ref Bling SJDKWP dptbonus,5,2024-06-07 15:30:09,"Aplikasi tiktok sangat memuaskan banget ya, simpel dan sangat sederhana banget sehingga ngga banyak memakai ram diponsel kita bisa menikmati beragam konten konten yang sangat bagus ya , aplikasi ini juga dilengkapi dengan berbagai fitur fitur yang sangat lengkap dan komplit ya sehingga memudahkan saat digunakan ya.oh iya aplikasi ini juga dapat memberikan tambahan penghasilan ya bagi para pengguna nya dan aplikasi ini sudah terbukti membayar ya kawan kawan.","['aplikasi', 'sangat', 'muas', 'simpel', 'sangat', 'sederhana', 'tidak', 'banyak', 'nikmat', 'agam', 'yang', 'sangat', 'bagus', 'aplikasi', 'lengkap', 'yang', 'sangat', 'lengkap', 'mudah', 'guna', 'aplikasi', 'dapat', 'beri', 'tambah', 'hasil', 'bagi', 'para', 'guna', 'aplikasi', 'sudah', 'bukti', 'bayar']",30,positive
Lauwners Zee,1,2024-05-29 17:13:19,"Sekarang fitur² yaa berat yaaa???? Msk kalau lagi nonton tiba² ngk ada gambarnya trus kembali atu keluar sendirii!!! Tolong diperbaiki dong semakin lama dan semakin besar ukuran mb nya harus semakin bagus dong perfomanya bukan malah menurunn, kecewa!sekarang setelah di uubdate apk ngk bisa kebuka sama sekalii kecewa aku pdhl sebelumnya ngk ada masalah TOLONG DIPERBAIKI!!!!!!","['kalau', 'lagi', 'ada', 'gambar', 'keluar', 'sendiri', 'tolong', 'baik', 'makin', 'lama', 'makin', 'besar', 'ukur', 'harus', 'makin', 'bagus', 'bukan', 'aplikasi', 'buka', 'sama', 'sekali', 'aku', 'ada', 'masalah', 'tolong', 'baik']",4,positive
Gilang Muhammad Fikri,1,2024-05-21 02:05:14,"setelah melakukan update, tiktok jadi lag parah, semua konten di dalam tiktok tidak ada yang bisa ditonton, semuanya hanya video yang tidak bergerak semua. semua tayangan di tiktok jadi hanya diam. mohon diperbaiki, sudah di update bukannya bagus malah menjadi lebih parah buruk","['terbaru', 'jadi', 'parah', 'semua', 'dalam', 'tidak', 'ada', 'yang', 'tonton', 'semua', 'hanya', 'yang', 'tidak', 'semua', 'semua', 'tayang', 'jadi', 'hanya', 'diam', 'mohon', 'baik', 'sudah', 'terbaru', 'bukan', 'bagus', 'jadi', 'lebih', 'parah', 'buruk']",-27,negative
Jauhari Jauhari,1,2024-06-03 18:39:24,"banyak orang sudah jarang main tiktok,kayaknya gak asik lagi seperti dulu,terlalu banyak aturan yang mengekang orang untuk berkreasi,terlalu ikut aturan aplikasi ini,jadinya ya begini orang jadi bosan,jenuh,mau ngapain juga orang bingung,ditambah boros kuota,padahal sudah pakai penghemat data,sampah datanya terlalu besar dan sampah cahcenya juga yang memakan ruang memori hp.","['banyak', 'sudah', 'main', 'asik', 'lagi', 'seperti', 'banyak', 'atur', 'yang', 'ekang', 'ikut', 'atur', 'aplikasi', 'begini', 'jadi', 'boros', 'sudah', 'hemat', 'data', 'terlalu', 'besar', 'sampah', 'yang', 'makan', 'ruang']",-8,negative
Isi Ref Bling SJDKWP dptbonus,5,2024-06-06 10:01:05,"Terbaik diantara beberapa aplikasi pemutar video yang ada ya, sangat simpel dan mudah ketika digunakan kawan.Selain memberikan kepuasan, aplikasi ini juga dapat memberikan tambahan penghasilan bagi para pengguna nya ya.Aplikasi ini nyaris tanpa bug sama sekali ya.Suka banget ya sama aplikasi yang satu ini karena memang sudah teruji dan terbukti membayar ya kawan kawan, aplikasi ini sangat cocok untuk kaum rebahan .","['baik', 'aplikasi', 'yang', 'ada', 'sangat', 'simpel', 'mudah', 'guna', 'beri', 'puas', 'aplikasi', 'dapat', 'beri', 'tambah', 'hasil', 'bagi', 'para', 'guna', 'sama', 'sekali', 'sama', 'aplikasi', 'yang', 'satu', 'karena', 'memang', 'sudah', 'uji', 'bukti', 'bayar', 'aplikasi', 'sangat', 'cocok', 'rebah']",32,positive
Boboiboy,1,2024-06-07 18:39:27,aplikasi ya bagus tapi ada beberapa bug ya aplikasi ya lama proses buka aplikasi ya kedua lemot pas scroll Tik tok dan terakhir susah di pencet apalagi masalah sinyal nya tolong jangan di abaikan masalah saya ya,"['aplikasi', 'bagus', 'ada', 'aplikasi', 'lama', 'proses', 'buka', 'aplikasi', 'dua', 'lot', 'pas', 'susah', 'pencet', 'masalah', 'tolong', 'jangan', 'abai', 'masalah', 'saya']",-31,negative
Ganendra Arganta,4,2024-05-05 23:37:01,"Aplikasi TikTok sangatlah berguna dalam segala hal,namun tolong diperhatikan kwalitas AUDIO nya. Saya berharap agar Kwalitas AUDIO STEREO dapat digunakan diseluruh type android, tanpa harus mencari versi yang tepat lagi saat ada update versi. Demikian kendala yang sering menjadi perdebatan pada pengguna android terutama android versi lama untuk AUDIO nya saat live streaming karaoke dan bernyanyi di TikTok","['aplikasi', 'sangat', 'guna', 'dalam', 'tolong', 'saya', 'harap', 'agar', 'dapat', 'guna', 'harus', 'cari', 'yang', 'lagi', 'ada', 'terbaru', 'yang', 'sering', 'jadi', 'debat', 'pada', 'guna', 'lama', 'langsung', 'nyanyi']",-5,negative
sayid Khoiron,2,2024-06-06 23:11:26,"Mohon maaf di kasih bintang dua dulu karena tiktok saya ga bisa kirim chat,udh pengajuan banding ga di terima, padahal saya tidak ada melakukan kesalahan habis update terkini ngirim pesan tidak bisa sangat mengecewakan,klo yg lain nya bagus aja hanya saja pesan nya tidak bisa","['mohon', 'maaf', 'kasih', 'dua', 'karena', 'saya', 'tidak', 'kirim', 'aju', 'banding', 'tidak', 'terima', 'saya', 'tidak', 'ada', 'salah', 'habis', 'terbaru', 'kini', 'kirim', 'pesan', 'tidak', 'sangat', 'yang', 'lain', 'bagus', 'saja', 'hanya', 'saja', 'pesan', 'tidak']",-20,negative
Reni Pabriani,2,2024-05-05 10:23:04,"Parah banget asli tiba"" tiktok gak bisa dibuka samsek, malah ke hpnya jadi ngelag dan ngerestart sendiri. Di akalin ini itu tanpa harus uninstall aplikasinya tetap gak bisa. Masalah jaringan bukan, memory hp bukan, chance bukan, aplikasi udah paling update. Pada akhirnya di uninstall, ilang dah semua draft videonya -__","['parah', 'asli', 'buka', 'sama sekali', 'jadi', 'sendiri', 'itu', 'harus', 'copot', 'aplikasi', 'tetap', 'masalah', 'jaringan', 'bukan', 'bukan', 'bukan', 'aplikasi', 'sudah', 'terbaru', 'pada', 'copot', 'hilang', 'sudah', 'semua']",-18,negative
Hendricck 3563,4,2024-06-03 19:26:09,"Aplikasi yang bagus. Sedikit kritik pada tiktok shoop aja kenapa kalau tiap pesen di barang di tiktok shoop kurirnya selalu lelet, gak kaya toko sebelah kurirnya cepet, semoga secepatnya bisa diperbaiki biar kurirnya bisa cepet.","['aplikasi', 'yang', 'bagus', 'sedikit', 'kritik', 'pada', 'saja', 'kalau', 'lambat', 'kaya', 'belah', 'cepat', 'moga', 'cepat', 'baik', 'cepat']",-12,negative
Kepo Lu,2,2024-05-04 21:15:11,"Akhir-akhir ini TikTok knpa si?! Sejak awal Mei bermasalah bgt, baru buka udah nge-lag. Pdahal wifi lancar, penyimpanan juga aman. Kesel bgt! Pas dibuka suara ada gambarnya hitam full, kdang gambar ada suaranya gagap, trus lagi g bisa pencet apapun pasti ujung²nya keluar, gbisa cek shop gua. Udah brapa kali pasang-copot tetap aja. Tolong dong, klo kek gini trus bisa rusak nih hp kena banting, gua emosian😭😭🙏","['awal', 'masalah', 'buka', 'sudah', 'lancar', 'simpan', 'kesel', 'pas', 'buka', 'suara', 'ada', 'gambar', 'hitam', 'kadang', 'gambar', 'ada', 'suara', 'gagap', 'lagi', 'pencet', 'apa', 'pasti', 'keluar', 'cek', 'saya', 'sudah', 'tetap', 'saja', 'tolong', 'kalau', 'seperti', 'rusak', 'kena', 'banting', 'saya', 'emosi']",1,positive
