key,value
title,TikTok
description,"Temukan komunitas dan bagikan konten inspiratif dan edukatif sesuai minat dan bakatmu! Hanya di TikTok, kamu bisa menemukan konten yang sesuai dengan dirimu dan merasakan kebahagiaan dari sajian konten yang menghibur.

TikTok adalah platform terdepan dan destinasi utama untuk video berdurasi singkat. Musik, tarian, edukasi, kecantikan, fesyen, ataupun unjuk bakat, para pengguna didorong untuk berimajinasi dan meluapkan ekspresi mereka dengan bebas. TikTok dirancang untuk generasi kekinian, di mana kamu dapat membuat video pendek yang unik dengan cepat dan mudah untuk dibagikan dengan teman dan ke seluruh dunia. TikTok adalah tempat di mana kamu bisa menemukan video yang sedang populer dan berbagai berita yang cocok untuk kamu yang berjiwa muda. Kami berusaha untuk memberdayakan lebih banyak pembuat konten kreatif dan berkualitas untuk menjadi bagian dari revolusi konten.

[Temukan Yang Seru dari Para Kreator Konten dan Tonton Secara Live]
Nikmati siaran live streaming dengan inovasi terbaru untuk para penonton maupun kreator konten.

[TikTok Shop]
Memudahkan jual beli barang, serta belanja produk dengan ulasan langsung dari para kreator.

[Kualitas Tajam yang Nyata]
Unggah dengan mudah, tampilan yang halus, dan mudah digunakan. 
Setiap detail video ditampilkan dalam kualitas yang sempurna. 

[Studio dalam Genggaman]
Kolaborasi sempurna antara kecerdasan buatan dan jepretan gambar. 
Menyempurnakan keunggulan produk melalui sinkronisasi musik, efek spesial, dan teknologi canggih. 
Studio video kreatif yang menakjubkan sekarang ada di genggamanmu.

[Daftar Musik Kekinian yang Sangat Lengkap]
Bawa imajinasi dan kreativitasmu ke tingkat yang lebih tinggi dan masuki dunia baru yang tak terbatas."
descriptionHTML,"Temukan komunitas dan bagikan konten inspiratif dan edukatif sesuai minat dan bakatmu! Hanya di TikTok, kamu bisa menemukan konten yang sesuai dengan dirimu dan merasakan kebahagiaan dari sajian konten yang menghibur.<br><br>TikTok adalah platform terdepan dan destinasi utama untuk video berdurasi singkat. Musik, tarian, edukasi, kecantikan, fesyen, ataupun unjuk bakat, para pengguna didorong untuk berimajinasi dan meluapkan ekspresi mereka dengan bebas. TikTok dirancang untuk generasi kekinian, di mana kamu dapat membuat video pendek yang unik dengan cepat dan mudah untuk dibagikan dengan teman dan ke seluruh dunia. TikTok adalah tempat di mana kamu bisa menemukan video yang sedang populer dan berbagai berita yang cocok untuk kamu yang berjiwa muda. Kami berusaha untuk memberdayakan lebih banyak pembuat konten kreatif dan berkualitas untuk menjadi bagian dari revolusi konten.<br><br>[Temukan Yang Seru dari Para Kreator Konten dan Tonton Secara Live]<br>Nikmati siaran live streaming dengan inovasi terbaru untuk para penonton maupun kreator konten.<br><br>[TikTok Shop]<br>Memudahkan jual beli barang, serta belanja produk dengan ulasan langsung dari para kreator.<br><br>[Kualitas Tajam yang Nyata]<br>Unggah dengan mudah, tampilan yang halus, dan mudah digunakan. <br>Setiap detail video ditampilkan dalam kualitas yang sempurna. <br><br>[Studio dalam Genggaman]<br>Kolaborasi sempurna antara kecerdasan buatan dan jepretan gambar. <br>Menyempurnakan keunggulan produk melalui sinkronisasi musik, efek spesial, dan teknologi canggih. <br>Studio video kreatif yang menakjubkan sekarang ada di genggamanmu.<br><br>[Daftar Musik Kekinian yang Sangat Lengkap]<br>Bawa imajinasi dan kreativitasmu ke tingkat yang lebih tinggi dan masuki dunia baru yang tak terbatas."
summary,"Bergabung di TikTok, komunitas global video, musik dan live streaming terbaik!"
installs,500.000.000+
minInstalls,500000000
realInstalls,756144021
score,4.178568
ratings,18502813
reviews,3306169
histogram,"[2478855, 647189, 868898, 1603993, 12903868]"
price,0
free,True
currency,IDR
sale,False
saleTime,
originalPrice,
saleText,
offersIAP,True
inAppProductPrice,"Rp 1.000,00 - Rp 16.500.000,00 per item"
developer,TikTok Pte. Ltd.
developerId,TikTok+Pte.+Ltd.
developerEmail,feedback@tiktok.com
developerWebsite,https://www.tiktok.com/
developerAddress,"1 Raffles Quay, #26-10,
South Tower,
Singapore
048583"
privacyPolicy,https://www.tiktok.com/legal/privacy-policy
genre,Pemutar & Editor Video
genreId,VIDEO_PLAYERS
categories,"[{'name': 'Strategi', 'id': 'GAME_STRATEGY'}, {'name': 'Build & battle', 'id': None}, {'name': 'Santai', 'id': 'GAME_CASUAL'}, {'name': 'Bergaya unik', 'id': None}, {'name': 'Strategi', 'id': 'GAME_STRATEGY'}, {'name': 'Build & battle', 'id': None}, {'name': 'Santai', 'id': 'GAME_CASUAL'}, {'name': 'Bergaya unik', 'id': None}]"
