userName,score,at,content,clean_teks,polarity_score,polarity
miky chan syakira,2,2023-11-26 00:21:08,"Tolong diperbaiki kan lagi tiktok, aku makin riaih sama tiktok yang baru karna yang pertama, video yang saya favorite kan tiba tiba bertambah, padahal tidak masuk kan favourite apa pun pas liat juga banyak banget video yang kayak udah dihapus padahal sebenarnya kagak dihapus. Kedua,setiap kali liat video yang di like,posting ulang dan tambah ke favourite pas nekan video itu awal biasa aja tapi tiba tiba dia seperi berhenti sendiri tanpa di pause, pas ku keluar balik ke menu terus ke ulang","['', 'baik', 'kan', '', 'tiktok', 'aku', 'makin', 'riaih', 'sama', 'tiktok', '', 'baru', 'karena', '', 'pertama', 'video', '', '', 'favorite', 'kan', 'tiba', 'tiba', 'tambah', 'padahal', '', 'masuk', 'kan', 'favourite', 'apa', '', 'pas', 'lihat', '', 'banyak', 'banget', 'video', '', 'kayak', 'sudah', 'hapus', 'padahal', 'benar', 'tidak', 'hapus', 'keduasetiap', 'kali', 'lihat', 'video', '', '', 'likeposting', 'ulang', '', 'tambah', '', 'favourite', 'pas', 'nekan', 'video', '', 'awal', 'biasa', 'saja', '', 'tiba', 'tiba', '', 'per', 'henti', 'sendiri', '', '', 'pause', 'pas', 'ku', 'keluar', 'balik', '', 'menu', 'terus', '', 'ulang']",11,positive
Axel Farerra,3,2023-11-25 22:15:19,"Fiturnya random, kadang fitur slideshow ada, pas dipake ilang, hanya beberapa orang dapat fitur slideshow, update kurang sekali, UI sering terganti ganti, jadi bingung, apalagi fitur collection, gada gunanya, bug Mulu, di masukin ke collection gak ketambah, kalau fitur nya ngebug terus jadi nya gabisa dipake","['fiturnya', 'random', 'kadang', 'fitur', 'slideshow', '', 'pas', 'dipake', 'hilang', '', 'beberapa', 'orang', '', 'fitur', 'slideshow', 'terbaru', 'kurang', 'sekali', 'ui', 'sering', 'ganti', 'ganti', 'jadi', 'bingung', '', 'fitur', 'collection', 'tidak ada', 'guna', 'bug', 'melulu', '', 'masukkan', '', 'collection', 'gak', 'tambah', 'kalau', 'fitur', 'nya', 'bug', 'terus', 'jadi', 'nya', 'tidak bisa', 'dipake']",16,positive
Restu bsm,1,2023-11-14 23:42:42,Di mohon kepada developer untuk membuat fitur hapus semua simpanan karena menghapus persatu-satu melelahkan sebab terlalu banyak di simpan bahkan video yang terhapus oleh tiktok tidak ikut menghilang itu sangat menyusahkan. Dan tambah fitur untuk mencari video yang pertama kali di simpan untuk di lihat lagi sebab mencari persatu-satu video sangat lama. Terima kasih atas kerjasamanya semoga pengembangan ini terwujud kan secepatnya.,"['', 'mohon', '', 'developer', '', 'buat', 'fitur', 'hapus', 'semua', 'simpan', '', 'hapus', 'persatusatu', 'lelah', '', 'terlalu', 'banyak', '', 'simpan', 'bahkan', 'video', '', 'hapus', '', 'tiktok', '', 'ikut', 'hilang', '', 'sangat', 'susah', '', 'tambah', 'fitur', '', 'cari', 'video', '', 'pertama', 'kali', '', 'simpan', '', '', 'lihat', '', '', 'cari', 'persatusatu', 'video', 'sangat', 'lama', 'terima', 'kasih', 'atas', 'kerjasamanya', 'moga', 'kembang', '', 'wujud', 'kan', 'cepat']",-6,negative
FAIZ RIZKY,1,2023-11-15 10:07:22,"Dasar aplikasi sampah gimana sih video yang dicari kadang tidak ada video yang di like suka ada yang hilang kadang video audio atau efek ""tidak tersedia"" kadang kalau lihat foto tidak ada gambarnya hanya hitam dan logonya saja videonya sering ngelag dan keterangan ""jaringan anda tidak stabil"" padahal internet bagus juga sering keluar sendiri dari aplikasi sering ngebug juga kalau gini terus ku kasih ⭐ 1 dah","['dasar', 'aplikasi', 'sampah', 'bagaimana', 'sih', 'video', '', 'cari', 'kadang', '', '', 'video', '', '', 'like', 'suka', '', '', 'hilang', 'kadang', 'video', 'audio', '', 'efek', '', 'sedia', 'kadang', 'kalau', 'lihat', 'foto', '', '', 'gambar', '', 'hitam', '', 'logo', '', 'video', 'sering', 'lelet', '', 'terang', 'jaringan', '', '', 'stabil', 'padahal', 'internet', 'bagus', '', 'sering', 'keluar', 'sendiri', '', 'aplikasi', 'sering', 'bug', '', 'kalau', 'gin', 'terus', 'ku', 'kasih', 'sudah']",25,positive
Maja Perru,5,2023-11-27 16:47:57,"Aplikasi ini sangat menunjang kebutuhan kita dalam hal pemutar video, simpel dan sangat nyaman banget ketika digunakan ya. Menarik nya lagi kita bisa menjadi konten kreatif diaplikasi ini guna mendapat kan tambahan koin ya. Sejauh ini menggunakan aplikasi nya nyaris tanpa bug sama sekali ya. Sejauh ini aplikasi ini sangat pleksibel ketika digunakan dan fitur-fitur yang terdapat didalamnya sangat canggih dan sangat membantu ya kawan.","['aplikasi', '', 'sangat', 'tunjang', 'butuh', '', '', '', 'putar', 'video', 'simpel', '', 'sangat', 'nyaman', 'banget', '', 'guna', '', 'tarik', 'nya', '', '', '', 'jadi', 'konten', 'kreatif', 'aplikasi', '', '', 'dapat', 'kan', 'tambah', 'koin', '', 'jauh', '', 'guna', 'aplikasi', 'nya', 'nyaris', '', 'bug', 'sama', 'sekali', '', 'jauh', '', 'aplikasi', '', 'sangat', 'pleksibel', '', 'guna', '', 'fiturfitur', '', 'dapat', 'dalam', 'sangat', 'canggih', '', 'sangat', 'bantu', '', 'kawan']",21,positive
Djuandra friantama Gmail. Com,1,2023-11-27 20:24:41,"Ini tiktok kenapa sih semakin di update makin berat aplikasinya,baru masuk ke aplikasi nya lama banget malah nge stuck dilogo ? Aplikasinya menyebabkan lag, stuck dilogo, force close, kadang suka log out sendiri ? tolong diperbaiki!!!!!!!!!!!!!!!!!!","['', 'tiktok', '', 'sih', 'makin', '', 'terbaru', 'makin', 'berat', 'aplikasinyabaru', 'masuk', '', 'aplikasi', 'nya', 'lama', 'banget', 'bahkan', 'nge', 'stuck', 'logo', 'aplikasi', 'sebab', 'lag', 'stuck', 'logo', 'paksa', 'tutup', 'kadang', 'suka', 'log', 'keluar', 'sendiri', '', 'baik']",-4,negative
Nurfa faujiah Upa,3,2023-11-18 21:54:45,"aplikasinya bagus cuman ya banyak bug nya apalagi fitur slide foto yang kadang sering hilang atau tidak bisa digunakan karena langsung slide otomatis jadi mohon untuk di perbaiki SECEPATNYA,karena aing mau buat au udah ngebuat AU nya malah fitur slide foto nya nge slide otomatis gustiii capek,udah liat tutorial di YouTube tiktok dll tapi tetep gak bisa di gunain,jadi mohon ya tok SEGERA DI PERBAIKI untuk bug atau apalah itu SEKIAN TERIMAKSIH","['aplikasi', 'bagus', 'cuman', '', 'banyak', 'bug', 'nya', '', 'fitur', 'slide', 'foto', '', 'kadang', 'sering', 'hilang', '', '', '', 'guna', '', 'langsung', 'slide', 'otomatis', 'jadi', 'mohon', '', '', 'baik', 'secepatnyakarena', 'saya', 'mau', 'buat', 'au', 'sudah', 'ngebuat', 'au', 'nya', 'bahkan', 'fitur', 'slide', 'foto', 'nya', 'nge', 'slide', 'otomatis', 'gustiii', 'capekudah', 'lihat', 'tutorial', '', 'youtube', 'tiktok', '', '', 'tetep', 'gak', '', '', 'gunainjadi', 'mohon', '', 'tok', 'segera', '', 'baik', '', 'bug', '', 'apa', '', 'sekian', 'terimaksih']",50,positive
Elvira Ramadhani,1,2023-11-25 00:29:59,"Sangat menyesal dan kecewa sekali. Setelah di update malah jadi berat banget, ngelag dan bug, setiap kali buka aplikasinya selalu nge freeze, belum lagi loading nya lamaaa banget, kecewa lah","['sangat', 'sesal', '', 'kecewa', 'sekali', '', '', 'terbaru', 'bahkan', 'jadi', 'berat', 'banget', 'lelet', '', 'bug', '', 'kali', 'buka', 'aplikasi', 'selalu', 'nge', 'freeze', '', '', 'loading', 'nya', 'lamaaa', 'banget', 'kecewa', 'lah']",7,positive
Iwan Sa,1,2023-11-06 22:14:05,"Banyak bug yang terjadi, mulai dari video yang sering ngeframe sendiri,sering tiba2 keluar aplikasi sendiri,sering komennya pada hilang,gak bisa ngelike, jaringan yang tiba2 ngelag,tapi pas di buka aplikasi lain lancar. Tolong dong tiktok di perbaiki lagi, kami ingin tiktok yang dulu,bukannya di upgrade malah banyak bug.. Terima kasih","['banyak', 'bug', '', 'jadi', 'mulai', '', 'video', '', 'sering', 'ngeframe', 'sendirisering', 'tiba', 'keluar', 'aplikasi', 'sendirisering', 'komennya', '', 'hilanggak', '', 'ngelike', 'jaringan', '', 'tiba', 'ngelagtapi', 'pas', '', 'buka', 'aplikasi', '', 'lancar', '', 'dong', 'tiktok', '', 'baik', '', '', '', 'tiktok', '', 'dulubukannya', '', 'meningkatkan', 'bahkan', 'banyak', 'bug', 'terima', 'kasih']",20,positive
Jannatun Ni'mah,2,2023-09-20 20:36:04,"Dear tiktok, saya sebagai pengguna tiktok sangat terbantu dalam memahami dunia konten digital yang sedang tren dan hangat diperbincangkan, namun untuk kualitas dari performa aplikasinya kadang tidak sesuai dengan yang diharapkan,padahal sudah diupdate 1 minggu lalu tetapi ketika masuk livestreaming orang sering ngebug dan terkeluar sendiri dari aplikasinya. Saya harap untuk bisa dioptimalkan lagi kedepannya. Terimakasih.","['terhormat', 'tiktok', '', '', 'guna', 'tiktok', 'sangat', 'bantu', '', 'paham', 'dunia', 'konten', 'digital', '', 'sedang', 'trend', '', 'hangat', 'bincang', '', '', 'kualitas', '', 'performa', 'aplikasi', 'kadang', '', 'sesuai', '', '', 'diharapkanpadahal', '', 'terbaru', 'minggu', 'lalu', '', '', 'masuk', 'livestreaming', 'orang', 'sering', 'bug', '', 'keluar', 'sendiri', '', 'aplikasi', '', 'harap', '', '', 'optimal', '', 'depan', 'terima kasih']",28,positive
