,userName,score,at,content,clean_teks,polarity_score,polarity
0,Leonardi Chow,5,2023-11-24T15:09:51.000,Disni saya jd seorang konten kreator video gaming dan motivation. Saya suka buat dan edit video di ig yt dan tiktok. ini apk sangat cocok dan bagus utk dipakai edit video dan tambahkan musik. Kelebihan : 1. Udh bagus utk edit video & tambahkan musik. 2. Kita bisa gunakan template dari berbagi video orang capcut. Kekurangan 1. Maunya apk capcut bisa sediakan semua jenis lagu yg banyak. Ya cuma itu kelebihan & kekurangan mau diperbaiki itu saran Tq developer udh peduli dan perbaiki udh mantap👍✅,"saya,jadi,game,saya,suka,buat,aplikasi,sangat,cocok,bagus,tambah,musik,lebih,bagus,tambah,musik,guna,dari,bagi,kurang,mau,aplikasi,sedia,semua,lagu,yang,banyak,cuma,itu,lebih,kurang,mau,baik,itu,saran,terima kasih,peduli,baik,mantap",34,positive
1,Firdaus Ridwan Sutarta,4,2023-11-27T11:55:51.000,"Mantap di versi 10.0.0 ini scan audio lokal sudah cukup cepat seperti layaknya di versi 9.6.x dengan namun tentu dengan penambahan fitur baru yang menarik (sayangnya banyak yang pro atau berbayar)tapi overll good job bytedance, saya suka, saya harap di kemudian hari updatenya lebih mempercepat scan audio lokal, memperbaiki bug bug dan jg fitur yang lebih bisa banyak yang dapat digunakan secara free agar proses editing bisa menghasilkan video yang lebih kreatif, terima kasih","mantap,sudah,cukup,cepat,seperti,layak,tentu,tambah,yang,tarik,sayang,banyak,yang,bagus,saya,suka,saya,harap,terbaru,lebih,cepat,baik,yang,lebih,banyak,yang,dapat,guna,gratis,agar,proses,hasil,yang,lebih,kreatif,terima,kasih",25,positive
2,Sri Wulan Tika,5,2023-11-30T21:00:59.000,"Mempermudah edit foto jadi video, prosesnya cepet.. Toolsnya mudah di pahami.. Saya mekomendasikan semua orang pakai aplikasi ini buat edit video. Punya skill edit video juga bisa jadi nilai tambah saat interview kerja loh.. Karena sekarang skill itu sangat berguna.","mudah,foto,jadi,proses,cepat,mudah,saya,semua,aplikasi,buat,punya,jadi,nilai,tambah,karena,itu,sangat,guna",18,positive
3,Jannatun Ni'mah,1,2023-11-27T18:26:55.000,"Surat terbuka untuk capcut,semenjak saya menggunakan capcut sekitar tahun 2019 masih bisa digunakan dengan baik dan tanpa ada kendala apapun.Tapi semenjak update terbaru,aplikasinya sering ngebug dan ngehang parah,setiap selesai bikin video template sering banget keluar sendiri,waktu mau pilih resolusi layar hitam,dan waktu mau ekspor template katanya layanan internet tidak tersedia,padahal saya pakai wifi.Saya sungguh sangat kecewa dengan performa capcut sekarang, tidak seperti yang dulu.","buka,saya,guna,guna,baik,ada,terbaru,sering,selesai,sering,keluar,mau,pilih,resolusi,mau,kata,layan,tidak,saya,sungguh,sangat,tidak,seperti,yang",18,positive
4,Nila Kurniawati,4,2023-11-22T16:58:08.000,"Ga tau kenapa tiap mau edit video yang durasi nya panjang, video dan suaranya jadi nge-slow. Dan tadi mau pake template selang waktu, tapi video nya tetep biasa ga jadi cepet, padahal biasanya normal aja tapi akhir-akhir ini sering banget ada bug kaya gitu yang bikin sebel banget","tidak,tahu,mau,yang,panjang,suara,jadi,mau,biasa,tidak,jadi,cepat,biasa,normal,saja,sering,ada,kaya,yang,sebel",9,positive
5,nurul fitroh nasution,1,2023-12-02T16:10:22.000,"Aplikasi bodo,masa mengedit video berdurasi 29.00 saja tak bisa ,sehabis di tekan selalu saja pergi ke template bukan hanya di hp ini di hp lain juga,belum lagi video yg dikirim dari hp lain ke hp ini, ketika ingin diedit di capcut,videonya malah g ada,gatau kenapa,video yg diedit juga suka patah patah,ketika mengedit juga aplikasi tiba tiba keluar,ngelag,dll.tolong segera di perbaiki","aplikasi,saja,tidak,habis,tekan,saja,pergi,bukan,hanya,lain,lagi,yang,kirim,dari,lain,yang,suka,patah,aplikasi,segera,baik",-37,negative
6,Truth (The Omnivore),1,2023-11-18T11:12:46.000,Bugnya udah keterlaluan banget dan gak bisa diilangin. Bugnya yaitu ketika ngescan musik saya jadi lamaaa banget padahal sebelum sebelumnya aman tapi sampai sekarang gak dibenerin. Ini bener bener menghabiskan waktu saya!!,"sudah,terlalu,musik,saya,jadi,sampai,benar,benar,benar,habis,saya",8,positive
7,Ayu Vero80,5,2023-11-16T09:07:35.000,"Aplikasi nya oke banget, buat bikin short or long video. Banyak feature yang bisa dicoba. Praktis tinggal sesuain aj ama yang kita suka. Semoga capcut makin memperbanyak feature2 yang free hehehe","aplikasi,oke,buat,banyak,yang,coba,praktis,tinggal,saja,sama,yang,suka,moga,makin,banyak,yang,gratis,ketawa",11,positive
8,Yayan Aprr,5,2023-11-18T08:08:44.000,"Dari sekian banyak Apk edit video, Aplikasi ini sih (CapCut) yg cukup populer menurut saya. Rekomendasi bgt utk orang yg suka ngedit, cara penggunaan nya juga terbilang mudah untuk pemula. Kita bisa edit manual ataupun pakai template yg sudah tersedia didalamnya.","dari,banyak,aplikasi,aplikasi,yang,cukup,populer,turut,saya,yang,suka,guna,mudah,mula,yang,sudah,sedia,dalam",-16,negative
9,Rendra,1,2023-11-18T19:39:09.000,"Aplikasi ini awal nya ok banget!!! Tapi sekarang malah jadi aplikasi yg g bisa di harapkan, Banyak sekali bug mau gunain templete malah muter terus udh satu jam an saya nunggu masih aja g bisa keluar gambarnya padahal kuota saya sangat sangat lancar pada aplikasi apapun termasum youtube","aplikasi,awal,ok,jadi,aplikasi,yang,harap,banyak,sekali,mau,satu,saya,nunggu,saja,keluar,gambar,kuota,saya,sangat,sangat,lancar,pada,aplikasi,apa",-4,negative
